32 587 <class 'numpy.ndarray'>
120 [2, 16, 10, 18, 2, -4, -16, -16, -24, -22, -26, -28, -32, -34, -32, -36, -36, -32, -20, -14, -14, -18, -24, -24, -28, -32, -32, -42, -42, -36, -36, -36]
121 [-4, 16, 6, 16, 6, -8, -16, -20, -26, -24, -28, -30, -34, -36, -36, -36, -36, -28, -20, -14, -16, -20, -24, -22, -28, -32, -32, -42, -44, -40, -38, -38]
122 [-12, 14, 6, 10, 6, -14, -18, -28, -28, -32, -30, -34, -34, -38, -38, -36, -34, -26, -24, -18, -18, -26, -30, -24, -28, -34, -36, -44, -48, -44, -42, -42]
123 [-8, 10, 0, 2, -4, -22, -28, -36, -34, -40, -38, -42, -40, -46, -46, -42, -40, -34, -34, -32, -30, -40, -42, -36, -38, -42, -44, -50, -52, -54, -50, -52]
124 [-8, 6, -8, -12, -20, -32, -38, -40, -46, -50, -48, -48, -48, -50, -54, -52, -50, -50, -52, -50, -50, -54, -56, -52, -54, -56, -56, -60, -60, -60, -60, -60]
125 [-14, -2, -14, -22, -30, -34, -40, -42, -46, -46, -48, -44, -48, -48, -50, -50, -48, -50, -48, -48, -44, -46, -44, -44, -46, -48, -52, -52, -54, -54, -58, -60]
126 [-20, -10, -14, -22, -28, -34, -34, -38, -38, -36, -36, -38, -42, -40, -38, -38, -38, -34, -34, -32, -26, -26, -20, -20, -22, -22, -24, -26, -28, -32, -40, -46]
127 [-26, -20, -16, -22, -28, -32, -36, -38, -38, -36, -34, -36, -38, -38, -34, -34, -30, -24, -20, -22, -18, -14, -10, -6, -6, -6, -8, -12, -12, -18, -26, -32]
128 [-30, -26, -26, -30, -32, -34, -38, -38, -36, -34, -34, -36, -34, -36, -32, -30, -22, -18, -16, -16, -12, -8, -2, 0, 2, 0, -2, -4, -6, -14, -22, -26]
129 [-26, -20, -24, -24, -26, -30, -30, -30, -28, -26, -28, -32, -30, -28, -30, -26, -20, -14, -12, -14, -8, -8, 0, 4, 4, 0, -2, -2, -6, -14, -22, -24]
130 [-16, -4, -12, -18, -22, -28, -28, -26, -24, -24, -26, -28, -28, -28, -30, -26, -20, -12, -10, -12, -6, -8, -2, 2, 2, -2, -2, -4, -8, -14, -24, -28]
131 [-4, 8, -2, -2, -14, -24, -30, -26, -26, -28, -28, -30, -30, -26, -28, -24, -20, -14, -12, -12, -8, -10, -4, 0, -2, -4, -6, -8, -12, -18, -28, -30]
132 [2, 14, 2, 8, -12, -22, -34, -26, -32, -30, -32, -32, -30, -28, -30, -26, -24, -14, -10, -12, -8, -12, -10, -6, -6, -8, -12, -14, -18, -22, -30, -32]
133 [6, 16, 8, 14, -16, -22, -30, -28, -32, -32, -32, -32, -32, -32, -32, -30, -26, -18, -12, -12, -10, -14, -14, -10, -12, -16, -18, -20, -22, -26, -30, -36]
134 [8, 16, 14, 18, -12, -16, -20, -24, -24, -30, -28, -32, -32, -34, -34, -30, -30, -26, -18, -14, -14, -18, -18, -14, -18, -24, -26, -28, -30, -32, -34, -38]
135 [10, 16, 16, 18, -6, -10, -14, -24, -20, -26, -26, -28, -32, -34, -36, -36, -36, -30, -20, -16, -14, -22, -24, -20, -22, -32, -32, -38, -42, -40, -38, -40]
136 [10, 16, 16, 16, 0, -8, -12, -24, -22, -22, -24, -28, -34, -32, -36, -40, -38, -32, -18, -12, -12, -20, -22, -18, -24, -36, -36, -42, -48, -40, -40, -42]
137 [12, 16, 16, 14, 2, -8, -12, -24, -24, -22, -28, -30, -36, -38, -38, -42, -38, -32, -22, -14, -14, -18, -22, -18, -22, -34, -34, -40, -48, -44, -42, -44]
138 [12, 14, 16, 14, 4, -10, -14, -22, -24, -22, -28, -30, -34, -36, -38, -40, -38, -32, -24, -14, -14, -18, -22, -16, -22, -34, -34, -40, -48, -42, -42, -44]
139 [12, 14, 16, 12, 4, -12, -14, -24, -26, -24, -28, -30, -36, -38, -42, -42, -42, -34, -26, -16, -16, -18, -22, -18, -24, -34, -36, -42, -50, -44, -42, -46]

32 587 <class 'numpy.ndarray'>
120 [1, 39, 10, 63, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
121 [0, 39, 3, 39, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
122 [0, 25, 3, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
123 [0, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
124 [0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
125 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
126 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
127 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
128 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]
129 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0]
130 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
131 [0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
132 [1, 25, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
